FECHA,HORA,MINUTOS,N  ABEJAS/ VISITA,N MOSCAS / VISITA,TEMPERATURA,ESPECIE,,,,
12/11/2020,12,50,1,0,38,ABEJA,,,,
12/11/2020,12,51,1,0,38,ABEJA,,,,
12/11/2020,12,52,1,0,38,ABEJA,,,,
12/11/2020,12,53,1,0,38,ABEJA,,,,
12/11/2020,12,57,1,0,38,ABEJA,,,,
12/11/2020,13,4,1,0,38,ABEJA,,,,
12/11/2020,13,5,1,0,38,ABEJA,,,,
12/11/2020,13,6,1,0,38,ABEJA,,,,
12/11/2020,13,14,1,0,39,ABEJA,,,,
12/11/2020,13,15,1,0,39,ABEJA,,,,
12/11/2020,13,16,1,0,39,ABEJA,,,,
12/11/2020,13,20,1,0,39,ABEJA,,,,
12/11/2020,13,25,1,0,39,ABEJA,,,,
12/11/2020,13,25,1,0,39,ABEJA,,,,
12/11/2020,13,34,1,0,40,ABEJA,,,,
12/11/2020,13,35,1,0,40,ABEJA,,,,
12/11/2020,13,43,1,0,40,ABEJA,,,,
12/11/2020,13,49,1,0,40,ABEJA,,,,
12/11/2020,14,0,1,0,39,ABEJA,,,,
12/11/2020,14,0,1,0,39,ABEJA,,,,
12/11/2020,14,8,1,0,39,ABEJA,,,,
12/11/2020,14,12,1,0,38,ABEJA,,,,
12/11/2020,14,17,1,0,38,ABEJA,,,,
12/11/2020,14,22,1,0,38,ABEJA,,,,
12/11/2020,14,22,1,0,38,ABEJA,,,,
12/11/2020,14,23,1,0,38,ABEJA,,,,
12/11/2020,14,24,1,0,37,ABEJA,,,,
12/11/2020,14,26,1,0,37,ABEJA,,,,
12/11/2020,14,27,1,0,37,ABEJA,,,,
12/11/2020,14,27,1,0,37,ABEJA,,,,
12/11/2020,14,32,1,0,37,ABEJA,,,,
12/11/2020,14,36,1,0,37,ABEJA,,,,
12/11/2020,14,41,1,0,36,ABEJA,,,,
12/11/2020,14,42,1,0,36,ABEJA,,,,
12/11/2020,14,43,1,0,36,ABEJA,,,,
12/11/2020,14,44,1,0,36,ABEJA,,,,
12/11/2020,14,44,1,0,36,ABEJA,,,,
12/11/2020,14,45,1,0,36,ABEJA,,,,
12/11/2020,14,52,1,0,36,ABEJA,,,,
12/11/2020,14,58,1,0,35,ABEJA,,,,
12/11/2020,14,59,1,0,35,ABEJA,,,,
12/11/2020,15,2,1,0,35,ABEJA,,,,
12/11/2020,15,6,1,0,34,ABEJA,,,,
12/11/2020,15,6,1,0,34,ABEJA,,,,
12/11/2020,15,7,1,0,34,ABEJA,,,,
12/11/2020,15,7,1,0,34,ABEJA,,,,
12/11/2020,15,8,1,0,34,ABEJA,,,,
12/11/2020,15,9,1,0,34,ABEJA,,,,
12/11/2020,15,12,1,0,34,ABEJA,,,,
12/11/2020,15,30,1,0,33,ABEJA,,,,
12/11/2020,15,33,0,1,33,MOSCA,,,,
12/11/2020,15,34,0,1,33,MOSCA,,,,
12/11/2020,15,39,1,0,33,ABEJA,,,,
12/11/2020,15,42,0,1,33,MOSCA,,,,
12/11/2020,15,45,1,0,33,ABEJA,,,,
12/11/2020,15,45,1,0,33,ABEJA,,,,
12/11/2020,15,47,1,0,32,ABEJA,,,,
12/11/2020,15,47,1,0,32,ABEJA,,,,
12/11/2020,15,48,2,0,32,ABEJA,,,,
12/11/2020,15,49,1,0,32,ABEJA,,,,
12/11/2020,15,51,1,0,32,ABEJA,,,,
12/11/2020,15,52,1,0,32,ABEJA,,,,
12/11/2020,15,55,1,0,32,ABEJA,,,,
12/11/2020,16,7,1,0,31,ABEJA,,,,
12/11/2020,16,8,1,0,31,ABEJA,,,,
12/11/2020,16,15,2,0,31,ABEJA,,,,
12/11/2020,16,50,1,0,30,ABEJA,,,,
12/11/2020,16,50,1,0,30,ABEJA,,,,
12/11/2020,16,56,1,0,29,ABEJA,,,,
12/11/2020,17,3,1,0,29,ABEJA,,,,
12/11/2020,17,3,1,0,29,ABEJA,,,,
12/11/2020,17,4,1,0,29,ABEJA,,,,
12/11/2020,17,6,1,0,29,ABEJA,,,,
12/11/2020,17,7,1,0,29,ABEJA,,,,
12/11/2020,17,7,1,0,29,ABEJA,,,,
12/11/2020,17,21,1,0,29,ABEJA,,,,
12/11/2020,17,28,1,0,29,ABEJA,,,,
12/11/2020,17,28,1,0,29,ABEJA,,,,
12/11/2020,17,29,1,0,29,ABEJA,,,,
12/11/2020,17,29,1,1,29,ABEJA,,,,
12/11/2020,17,30,1,1,29,ABEJA,,,,
12/11/2020,17,30,1,1,29,ABEJA,,,,
12/11/2020,17,46,1,0,29,ABEJA,,,,
12/11/2020,17,46,2,0,29,ABEJA,,,,
12/11/2020,17,53,1,0,29,ABEJA,,,,
12/11/2020,17,53,1,0,29,ABEJA,,,,
12/11/2020,17,54,1,0,29,ABEJA,,,,
12/11/2020,17,55,1,0,29,ABEJA,,,,
12/11/2020,17,58,1,0,29,ABEJA,,,,
12/11/2020,18,4,1,0,30,ABEJA,,,,
12/11/2020,18,4,1,0,30,ABEJA,,,,
12/11/2020,18,18,1,0,34,ABEJA,,,,
12/11/2020,18,26,1,0,35,ABEJA,,,,
12/11/2020,18,32,1,0,36,ABEJA,,,,
12/11/2020,18,32,1,0,36,ABEJA,,,,
12/11/2020,18,34,1,0,36,ABEJA,,,,
12/11/2020,18,34,1,0,36,ABEJA,,,,
12/11/2020,18,38,1,0,37,ABEJA,,,,
12/11/2020,18,39,1,0,37,ABEJA,,,,
12/11/2020,18,39,1,0,37,ABEJA,,,,
12/11/2020,18,40,1,0,37,ABEJA,,,,
12/11/2020,18,42,1,0,37,ABEJA,,,,
12/11/2020,18,48,2,0,37,ABEJA,,,,
12/11/2020,18,48,1,0,37,ABEJA,,,,
12/11/2020,18,49,2,0,37,ABEJA,,,,
12/11/2020,18,49,2,0,37,ABEJA,,,,
12/11/2020,18,50,1,0,37,ABEJA,,,,
12/11/2020,18,58,1,0,36,ABEJA,,,,
12/11/2020,19,28,1,0,35,ABEJA,,,,
12/11/2020,19,48,1,0,32,ABEJA,,,,
12/11/2020,19,50,1,0,32,ABEJA,,,,
12/11/2020,19,54,1,0,31,ABEJA,,,,
12/11/2020,19,56,0,1,31,MOSCA,,,,
12/11/2020,19,57,0,1,31,MOSCA,,,,
12/11/2020,19,59,0,1,31,MOSCA,,,,
12/11/2020,19,59,0,1,31,MOSCA,,,,
13/11/2020,10,40,1,0,28,ABEJA,,,,
13/11/2020,10,41,1,0,28,ABEJA,,,,
13/11/2020,10,46,1,0,28,ABEJA,,,,
13/11/2020,10,46,1,0,28,ABEJA,,,,
13/11/2020,10,47,1,0,28,ABEJA,,,,
13/11/2020,10,47,1,0,28,ABEJA,,,,
13/11/2020,10,48,1,0,28,ABEJA,,,,
13/11/2020,10,48,1,0,28,ABEJA,,,,
13/11/2020,11,8,0,1,30,MOSCA,,,,
13/11/2020,11,9,0,1,30,MOSCA,,,,
13/11/2020,11,9,0,1,30,MOSCA,,,,
13/11/2020,11,10,0,1,30,MOSCA,,,,
13/11/2020,11,10,0,1,30,MOSCA,,,,
13/11/2020,11,14,1,0,30,ABEJA,,,,
13/11/2020,11,15,1,0,30,ABEJA,,,,
13/11/2020,11,16,1,0,30,ABEJA,,,,
13/11/2020,11,16,1,0,30,ABEJA,,,,
13/11/2020,11,20,1,0,30,ABEJA,,,,
13/11/2020,11,21,1,0,31,ABEJA,,,,
13/11/2020,11,28,1,0,31,ABEJA,,,,
13/11/2020,11,29,1,0,31,ABEJA,,,,
13/11/2020,11,30,1,0,31,ABEJA,,,,
13/11/2020,11,35,1,0,31,ABEJA,,,,
13/11/2020,11,43,1,0,31,ABEJA,,,,
13/11/2020,11,43,1,0,32,ABEJA,,,,
13/11/2020,11,44,1,0,32,ABEJA,,,,
13/11/2020,11,48,1,0,32,ABEJA,,,,
13/11/2020,12,5,1,0,33,ABEJA,,,,
13/11/2020,12,6,1,0,33,ABEJA,,,,
13/11/2020,12,11,1,0,33,ABEJA,,,,
13/11/2020,12,11,1,0,33,ABEJA,,,,
13/11/2020,12,15,1,0,33,ABEJA,,,,
13/11/2020,12,36,1,0,35,ABEJA,,,,
13/11/2020,12,39,1,0,35,ABEJA,,,,
13/11/2020,12,44,1,0,35,ABEJA,,,,
13/11/2020,12,53,1,0,35,ABEJA,,,,
13/11/2020,12,53,1,0,35,ABEJA,,,,
13/11/2020,12,54,1,0,35,ABEJA,,,,
13/11/2020,12,54,1,0,35,ABEJA,,,,
13/11/2020,12,55,1,0,35,ABEJA,,,,
13/11/2020,12,56,1,0,35,ABEJA,,,,
13/11/2020,12,56,1,0,35,ABEJA,,,,
13/11/2020,13,2,1,0,36,ABEJA,,,,
13/11/2020,13,3,1,0,36,ABEJA,,,,
